iter	Passed	Remaining
840	1197	226
841	1198	224
842	1200	223
843	1201	222
844	1202	220
845	1203	219
846	1204	217
847	1205	216
848	1206	214
849	1207	213
850	1210	211
851	1213	210
852	1215	209
853	1217	208
854	1218	206
855	1219	205
856	1220	203
857	1221	202
858	1222	200
859	1226	199
860	1228	198
861	1229	196
862	1231	195
863	1232	193
864	1233	192
865	1234	191
866	1236	189
867	1238	188
868	1239	186
869	1242	185
870	1244	184
871	1245	182
872	1246	181
873	1248	179
874	1249	178
875	1250	176
876	1251	175
877	1255	174
878	1256	172
879	1257	171
880	1259	170
881	1260	168
882	1262	167
883	1263	165
884	1264	164
885	1265	162
886	1268	161
887	1271	160
888	1272	158
889	1273	157
890	1274	155
891	1275	154
892	1277	153
893	1278	151
894	1279	150
895	1280	148
896	1283	147
897	1284	145
898	1286	144
899	1287	143
900	1288	141
901	1289	140
902	1290	138
903	1291	137
904	1292	135
905	1293	134
906	1297	133
907	1298	131
908	1299	130
909	1301	128
910	1302	127
911	1303	125
912	1304	124
913	1305	122
914	1305	121
915	1306	119
916	1308	118
917	1310	117
918	1311	115
919	1311	114
920	1312	112
921	1313	111
922	1314	109
923	1315	108
924	1316	106
925	1317	105
926	1318	103
927	1319	102
928	1320	100
929	1320	99
930	1321	97
931	1322	96
932	1324	95
933	1324	93
934	1325	92
935	1326	90
936	1327	89
937	1328	87
938	1329	86
939	1330	84
940	1331	83
941	1331	82
942	1332	80
943	1333	79
944	1334	77
945	1335	76
946	1336	74
947	1337	73
948	1338	71
949	1339	70
950	1340	69
951	1341	67
952	1342	66
953	1343	64
954	1344	63
955	1345	61
956	1346	60
957	1347	59
958	1348	57
959	1349	56
960	1350	54
961	1351	53
962	1352	51
963	1353	50
964	1354	49
965	1355	47
966	1356	46
967	1357	44
968	1358	43
969	1358	42
970	1359	40
971	1360	39
972	1361	37
973	1362	36
974	1363	34
975	1364	33
976	1365	32
977	1366	30
978	1368	29
979	1369	27
980	1371	26
981	1372	25
982	1373	23
983	1374	22
984	1375	20
985	1376	19
986	1377	18
987	1379	16
988	1380	15
989	1383	13
990	1384	12
991	1385	11
992	1386	9
993	1387	8
994	1388	6
995	1389	5
996	1389	4
997	1390	2
998	1391	1
999	1392	0
